"Key","Angle","Distance","RCV","Accuracy"
1,0,20,370,49.46
2,0,20,331,47.13
3,0,20,353,48.73
4,0,20,373,47.99
5,0,20,337,41.84
6,0,20,362,41.71
7,0,20,360,48.33
8,0,20,348,49.14
9,0,20,368,50.54
10,0,20,361,52.91
11,0,35,308,46.43
12,0,35,336,45.83
13,0,35,323,47.06
14,0,35,323,48.3
15,0,35,337,45.1
16,0,35,357,54.34
17,0,35,348,43.97
18,0,35,313,47.6
19,0,35,339,45.43
20,0,35,367,49.05
21,0,50,271,36.9
22,0,50,232,43.97
23,0,50,305,43.93
24,0,50,307,47.23
25,0,50,299,39.13
26,0,50,273,41.76
27,0,50,268,41.79
28,0,50,338,46.45
29,0,50,249,39.76
30,0,50,288,37.85
31,0,65,254,35.83
32,0,65,233,38.2
33,0,65,260,33.46
34,0,65,257,35.41
35,0,65,263,38.02
36,0,65,199,32.16
37,0,65,253,39.13
38,0,65,235,39.57
39,0,65,252,34.13
40,0,65,220,35.45
41,0,80,236,38.56
42,0,80,251,40.24
43,0,80,221,31.22
44,0,80,223,31.39
45,0,80,219,31.56
46,0,80,243,31.69
47,0,80,203,37.93
48,0,80,220,32.73
49,0,80,232,34.48
50,0,80,199,31.16
51,0,95,269,37.92
52,0,95,233,38.2
53,0,95,237,35.86
54,0,95,203,34.98
55,0,95,250,36.4
56,0,95,268,38.06
57,0,95,260,31.15
58,0,95,266,36.47
59,0,95,232,33.19
60,0,95,249,38.55
61,0,110,269,39.41
62,0,110,236,42.8
63,0,110,239,35.56
64,0,110,237,39.66
65,0,110,223,35.43
66,0,110,242,39.26
67,0,110,220,31.36
68,0,110,244,38.52
69,0,110,224,33.48
70,0,110,251,39.04
71,0,125,213,32.86
72,0,125,221,40.72
73,0,125,330,49.39
74,0,125,236,38.14
75,0,125,228,39.04
76,0,125,232,38.36
77,0,125,261,41.76
78,0,125,225,40
79,0,125,212,30.19
80,0,125,249,34.94
81,0,140,296,34.12
82,0,140,265,36.23
83,0,140,240,35
84,0,140,249,39.76
85,0,140,231,38.96
86,0,140,281,38.43
87,0,140,197,35.03
88,0,140,228,30.26
89,0,140,229,31.44
90,0,140,250,33.15
91,45,20,301,41.86
92,45,20,256,42.19
93,45,20,273,42.86
94,45,20,310,39.35
95,45,20,287,42.16
96,45,20,263,39.16
97,45,20,225,37.78
98,45,20,273,43.75
99,45,20,248,37.9
100,45,20,267,38.95
101,45,35,331,51.66
102,45,35,357,51.82
103,45,35,341,51.91
104,45,35,324,46.6
105,45,35,351,52.71
106,45,35,365,51.23
107,45,35,359,52.09
108,45,35,346,47.11
109,45,35,352,50.85
110,45,35,383,52.22
111,45,50,406,50
112,45,50,359,48.75
113,45,50,376,52.66
114,45,50,354,50.28
115,45,50,367,46.32
116,45,50,325,52.31
117,45,50,364,48.08
118,45,50,301,46.18
119,45,50,303,46.02
120,45,50,336,48.51
121,45,65,253,44.48
122,45,65,359,48.78
123,45,65,358,47.21
124,45,65,354,46.33
125,45,65,360,46.94
126,45,65,353,45.61
127,45,65,331,48.64
128,45,65,341,48.68
129,45,65,313,46.65
130,45,65,324,48.77
131,45,80,311,50.48
132,45,80,345,45.22
133,45,80,301,43.52
134,45,80,349,47.56
135,45,80,378,54.5
136,45,80,369,42.55
137,45,80,355,50.42
138,45,80,290,47.93
139,45,80,359,49.03
140,45,80,327,48.32
141,45,95,281,49.11
142,45,95,319,43.89
143,45,95,325,45.23
144,45,95,354,49.44
145,45,95,366,47.27
146,45,95,313,47.6
147,45,95,326,51.84
148,45,95,350,50
149,45,95,323,51.95
150,45,95,329,46.81
151,45,110,309,45.63
152,45,110,324,45.54
153,45,110,327,50.46
154,45,110,326,45.4
155,45,110,324,45.68
156,45,110,353,48.43
157,45,110,289,47.4
158,45,110,309,48.87
159,45,110,285,46.32
160,45,110,313,46.01
161,45,125,289,43.23
162,45,125,288,37.15
163,45,125,276,42.03
164,45,125,249,39.36
165,45,125,276,38.04
166,45,125,296,43.24
167,45,125,290,38.62
168,45,125,266,39.85
169,45,125,248,33.87
170,45,125,262,32.44
171,45,140,248,31.85
172,45,140,228,38.6
173,45,140,248,31.05
174,45,140,341,38.59
175,45,140,233,35.62
176,45,140,249,35.74
177,45,140,263,35.74
178,45,140,262,35.88
179,45,140,209,38.28
180,45,140,272,37.13
181,90,20,256,42.23
182,90,20,315,39.68
183,90,20,320,45.31
184,90,20,280,40.36
185,90,20,310,42.26
186,90,20,292,44.86
187,90,20,299,46.15
188,90,20,283,46.64
189,90,20,340,42.35
190,90,20,289,40.83
191,90,35,326,44.17
192,90,35,326,46.32
193,90,35,324,48.15
194,90,35,336,46.43
195,90,35,355,45.07
196,90,35,336,55.36
197,90,35,317,50.16
198,90,35,368,46.2
199,90,35,353,52.27
200,90,35,365,49.04
201,90,50,349,51
202,90,50,389,45.5
203,90,50,354,50.28
204,90,50,322,47.52
205,90,50,337,48.96
206,90,50,346,47.96
207,90,50,348,46.26
208,90,50,333,48.95
209,90,50,324,46.6
210,90,50,349,45.85
211,90,65,360,51.67
212,90,65,314,49.36
213,90,65,323,50.46
214,90,65,305,52.32
215,90,65,357,47.63
216,90,65,359,47.63
217,90,65,318,44.65
218,90,65,306,49.35
219,90,65,328,48.79
220,90,65,378,45.5
221,90,80,330,42.42
222,90,80,362,49.73
223,90,80,308,44.48
224,90,80,300,49
225,90,80,337,42.14
226,90,80,332,51.51
227,90,80,320,47.19
228,90,80,319,47.65
229,90,80,303,46.86
230,90,80,302,47.35
231,90,95,267,41.2
232,90,95,280,41.07
233,90,95,283,48.76
234,90,95,334,48.2
235,90,95,276,37.68
236,90,95,298,36.58
237,90,95,268,45.15
238,90,95,271,46.86
239,90,95,261,42.15
240,90,95,305,44.26
241,90,110,291,37.56
