Actual Density,Mean SDE, Min SDE, Max SDE,SDE Range
1124.7098,4.0333333,2.4,5.2,2.8
821.86725,2,1.2,3.6,2.4
104.87723,1.9,1,2.8,1.8
531.59436,1.9,1,2.8,1.8
112.254555,1.9,1,2.8,1.8
300.12393,1.9,1,2.8,1.8
39.38516,1.9,1,2.8,1.8
1020.17633,3.3999999,2.4,3.9,1.5
931.20874,1.4,1.2,1.8000001,0.6000001
130.53053,1,1,1,0
502.2682,1,1,1,0
115.46927,1,1,1,0
357.272,1,1,1,0
64.457634,1,1,1,0
910.7768,3.0805557,2.3,3.8500001,1.5500001
1057.7858,1.4,1.2,1.8000001,0.6000001
1152.2637,0.9,0.8,1,0.2
150.0207,1,1,1,0
470.0668,1,1,1,0
89.974594,1,1,1,0
423.27484,1,1,1,0
64.61551,1,1,1,0
870.86206,3.0555556,2.3,3.8000002,1.5000002
1191.0928,1.4,1.2,1.8000001,0.6000001
966.8044,1,1,1,0
166.91328,1,1,1,0
396.5565,1,1,1,0
70.58324,1,1,1,0
65.0405,1,1,1,0
841.604,3.0638888,1.4000001,3.8500001,2.45
1339.4661,1.4,1.2,1.8000001,0.6000001
796.4057,1,1,1,0
177.98517,1,1,1,0
313.09604,1,1,1,0
34.82375,1,1,1,0
55.975517,1,1,1,0
809.7675,3.0611112,1.4000001,3.8500001,2.45
1470.2548,1.4,1.2,1.8000001,0.6000001
637.3335,1,1,1,0
187.8689,1,1,1,0
232.06563,1,1,1,0
3.139929,1,1,1,0
204.77054,0.9,0.8,1,0.2
61.197964,1,1,1,0
820.68164,2.7527778,1.4000001,3.75,2.3499999
2229.259,1.5,1.2,1.8000001,0.6000001
496.66614,1,1,1,0
194.33478,1,1,1,0
154.12628,1,1,1,0
41.94563,1,1,1,0
286.1865,1,1,1,0
70.94613,1,1,1,0
821.9829,2.7416668,1.4000001,3.75,2.3499999
274.19983,1,1,1,0
372.45935,1,1,1,0
196.04779,1,1,1,0
735.33856,1,1,1,0
79.22451,1,1,1,0
76.81187,1,1,1,0
363.22998,1,1,1,0
71.52082,1,1,1,0
847.2332,2.7416668,1.4000001,3.75,2.3499999
276.71042,1,1,1,0
266.18805,1,1,1,0
195.67775,1,1,1,0
590.7594,1,1,1,0
2.616117,1,1,1,0
111.0784,1,1,1,0
457.08734,1,1,1,0
66.329414,1,1,1,0
958.914,2.7416668,1.4000001,3.75,2.3499999
275.30978,1,1,1,0
183.58815,1,1,1,0
196.04291,1,1,1,0
468.89362,1,1,1,0
72.221214,1,1,1,0
140.77847,1,1,1,0
539.6778,1,1,1,0
59.411522,1,1,1,0
1062.7638,2.7416668,1.4000001,3.75,2.3499999
268.36713,1,1,1,0
120.783676,1,1,1,0
199.78606,1,1,1,0
383.07925,1,1,1,0
146.18918,1,1,1,0
172.15909,1,1,1,0
600.34937,1,1,1,0
52.290012,1,1,1,0
1157.2711,2.7416668,1.4000001,3.75,2.3499999
254.7774,1,1,1,0
80.822815,1,1,1,0
200.27487,1,1,1,0
304.93466,1,1,1,0
212.73636,1,1,1,0
204.76624,1,1,1,0
690.4246,1,1,1,0
33.426037,1,1,1,0
1262.8973,2.7416668,1.4000001,3.75,2.3499999
241.42902,1,1,1,0
94.377144,1,1,1,0
202.25728,1,1,1,0
232.5849,1,1,1,0
284.59415,1,1,1,0
242.748,1,1,1,0
765.4859,1,1,1,0
13.637324,1,1,1,0
2317.3083,2.647619,1.4000001,3.8000002,2.4000001
229.82513,1,1,1,0
81.53277,1,1,1,0
203.36655,1,1,1,0
161.53062,1,1,1,0
349.50937,1,1,1,0
290.9751,1,1,1,0
861.73517,1,1,1,0
19.40959,1,1,1,0
2303.7495,2.3714287,1.2,3.0666668,1.8666668
221.82533,1,1,1,0
64.31185,1,1,1,0
200.87805,1,1,1,0
102.60156,1,1,1,0
414.95468,1,1,1,0
348.23785,1,1,1,0
951.05176,1,1,1,0
32.692192,1,1,1,0
2286.1062,2.3428571,1.2,3,1.8
214.45695,1,1,1,0
36.401924,1,1,1,0
194.70166,1,1,1,0
63.368607,1,1,1,0
475.7729,1,1,1,0
407.37732,1,1,1,0
1015.7293,1,1,1,0
46.05085,1,1,1,0
2272.2522,2.0571427,1.2,2.9333334,1.7333334
150.5006,1,1,1,0
8.853493,1,1,1,0
184.01465,1,1,1,0
138.87843,1,1,1,0
513.81116,1,1,1,0
466.94696,1,1,1,0
1069.1548,1,1,1,0
63.237064,1,1,1,0
1939.9061,2.3583333,1.4000001,3.65,2.2499999
143.65544,1,1,1,0
49.311783,1,1,1,0
181.91968,1,1,1,0
182.07774,1,1,1,0
551.50385,1,1,1,0
541.12805,1,1,1,0
1072.6501,1,1,1,0
89.423996,1,1,1,0
1896.3823,2.1166666,1.4000001,2.8000002,1.4000001
116.0036,1,1,1,0
83.821495,1,1,1,0
179.928,1,1,1,0
235.05624,1,1,1,0
569.025,1,1,1,0
457.12964,1,1,1,0
1079.5872,1,1,1,0
112.87816,1,1,1,0
1846.6371,2.0333333,1.2,2.8000002,1.6000002
80.982506,1,1,1,0
114.135284,1,1,1,0
179.3017,1,1,1,0
279.1298,1,1,1,0
539.2529,1,1,1,0
386.05304,1,1,1,0
1097.5568,1,1,1,0
153.13924,1,1,1,0
1819.3632,2.3222225,2,2.8666668,0.8666668
19.46213,1,1,1,0
141.558,1,1,1,0
179.40504,1,1,1,0
328.7439,1,1,1,0
310.59177,1,1,1,0
1114.4585,1,1,1,0
193.37827,1,1,1,0
2127.8108,2.0285714,1.2,2.8000002,1.6000002
12.594736,1,1,1,0
146.47176,1,1,1,0
181.4459,1,1,1,0
366.51398,1,1,1,0
236.11755,1,1,1,0
1131.7933,1,1,1,0
245.27632,1,1,1,0
2128.2747,2.0285714,1.2,2.8000002,1.6000002
6.0770626,1,1,1,0
148.73157,1,1,1,0
182.60957,1,1,1,0
403.2489,1,1,1,0
181.61856,1,1,1,0
1148.0413,1,1,1,0
296.4465,1,1,1,0
2568.7297,1.575,1.2,2,0.8
8.581502,1,1,1,0
136.42404,1,1,1,0
205.51747,2.0666666,2,2.1,0.1
190.56686,1,1,1,0
484.92987,1,1,1,0
148.20915,1,1,1,0
1153.2255,1,1,1,0
