T1 Angle,T2 Angle,T1 Distance,T2 Distance,T1 Accuracy,T2 Accuracy,Received
90,270,35,20,63,162,259
90,270,35,20,81,196,331
90,270,35,20,121,195,376
90,270,35,20,111,77,246
90,270,35,20,46,104,196
90,270,35,20,50,130,221
90,270,35,20,118,178,363
90,270,35,20,92,132,273
90,270,35,20,76,154,291
90,270,35,20,73,89,216
90,270,35,35,96,43,170
90,270,35,35,89,73,194
90,270,35,35,57,90,180
90,270,35,35,110,72,240
90,270,35,35,152,77,271
90,270,35,35,95,49,175
90,270,35,35,67,54,158
90,270,35,35,85,26,137
90,270,35,35,86,88,210
90,270,35,35,62,86,172
90,270,35,50,164,55,279
90,270,35,50,114,105,261
90,270,35,50,176,68,316
90,270,35,50,149,63,248
90,270,35,50,125,83,255
90,270,35,50,155,32,237
90,270,35,50,137,35,226
90,270,35,50,255,63,372
90,270,35,50,82,44,173
90,270,35,50,121,79,252
90,270,35,65,159,58,267
90,270,35,65,168,45,299
90,270,35,65,190,49,319
90,270,35,65,210,31,335
90,270,35,65,174,32,266
90,270,35,65,78,20,142
90,270,35,65,168,20,242
90,270,35,65,139,29,223
90,270,35,65,57,9,109
90,270,35,65,76,33,153
90,0,35,20,61,79,168
90,0,35,20,105,70,213
90,0,35,20,82,95,215
90,0,35,20,99,83,231
90,0,35,20,127,113,287
90,0,35,20,115,154,308
90,0,35,20,86,40,155
90,0,35,20,56,73,157
90,0,35,20,64,43,127
90,0,35,20,52,39,120
90,0,35,35,100,87,247
90,0,35,35,174,63,312
90,0,35,35,95,63,216
90,0,35,35,100,55,217
90,0,35,35,104,63,212
90,0,35,35,110,84,248
90,0,35,35,103,59,216
90,0,35,35,149,57,274
90,0,35,35,132,36,213
90,0,35,35,136,67,245
90,225,35,20,114,30,185
90,225,35,20,44,33,119
90,225,35,20,83,47,160
90,225,35,20,126,74,261
90,225,35,20,110,69,226
90,225,35,20,76,31,128
90,225,35,20,121,35,198
90,225,35,20,96,78,219
90,225,35,20,81,40,185
90,225,35,20,168,35,308
90,70,35,35,88,91,223
90,70,35,35,51,29,109
90,70,35,35,106,41,179
90,70,35,35,79,69,183
90,70,35,35,79,109,229
90,70,35,35,189,63,303
90,70,35,35,127,62,222
90,70,35,35,68,51,146
90,70,35,35,120,67,235
90,70,35,35,66,58,149
