record count, simulate_time,Timestamp,Mean Cluster Size,Number of Clusters,Standard Deviation,Cluster Composition,Average Entropy,Window Size
0,10,0.0,3.488372,43,4.309926,0.5669727,0.7748653,750
1,20,0.1,3.75,40,4.8101454,0.55298924,0.77083325,750
2,30,0.1,3.5714285,42,3.9469264,0.5515394,0.76509756,750
3,40,0.1,3.9473684,38,4.223663,0.5157746,0.8447259,750
4,50,1.0,4.285714,35,3.9465818,0.53508925,0.8479421,750
5,60,1.0,4.5454545,33,3.7423935,0.53937995,0.8486235,750
6,70,1.0,4.83871,31,4.0885105,0.5047078,0.9156592,750
7,80,1.1,4.6875,32,4.1415386,0.5330449,0.8769506,750
8,90,1.1,5,30,4.351245,0.56234854,0.8169261,750
9,100,1.1,5.172414,29,5.8608522,0.5506971,0.81120795,750
10,110,2.0,5.357143,28,5.3599987,0.5559541,0.8245534,750
11,120,2.0,4.83871,31,5.6971807,0.5414296,0.84465396,750
12,130,2.0,4.5454545,33,4.4250727,0.5597042,0.8053938,750
13,140,2.1,5,30,5.5377493,0.54405487,0.80781156,750
14,150,2.1,5.769231,26,6.778404,0.5585799,0.77901775,750
15,160,2.1,6,25,6.0728908,0.5541847,0.78912616,750
16,170,3.0,6,25,6.0663004,0.56482697,0.75638646,750
17,180,3.0,6.818182,22,6.8266616,0.55332744,0.81499356,750
18,190,3.0,7.5,20,7.1449285,0.58718556,0.7651549,750
19,200,3.1,7.894737,19,7.853224,0.58659935,0.7503934,750
20,210,3.1,6.818182,22,7.5596786,0.57259434,0.7514581,750
21,220,3.1,6.818182,22,7.5596786,0.5309043,0.8008745,750
22,230,4.0,8.333333,18,11.893042,0.54055446,0.80034065,750
23,240,4.0,8.823529,17,15.2053995,0.57176155,0.7885987,750
24,250,4.0,9.375,16,11.537304,0.52126133,0.87338066,750
25,260,4.1,8.823529,17,11.205226,0.5184747,0.8743672,750
26,270,4.1,9.375,16,11.7466755,0.5091618,0.87382585,750
27,280,4.1,8.823529,17,11.131489,0.56689686,0.79031986,750
28,290,5.0,8.823529,17,11.247146,0.5743738,0.7620919,750
29,300,5.0,8.333333,18,11.065462,0.57717097,0.75938886,750
30,310,5.0,11.538462,13,18.474997,0.5439832,0.78266686,750
31,320,5.1,11.538462,13,18.449997,0.48125595,0.8923861,750
32,330,5.1,10.714286,14,17.198126,0.4981868,0.8691134,750
33,340,5.1,11.538462,13,18.164274,0.5070912,0.8686238,750
34,350,6.0,13.636364,11,19.46219,0.56218356,0.7919586,750
35,360,6.0,13.636364,11,19.818598,0.55703604,0.81027454,750
36,370,6.0,13.636364,11,19.781868,0.54329133,0.79833955,750
37,380,6.1,12.5,12,21.650635,0.5808961,0.75311136,750
38,390,6.1,13.636364,11,19.955736,0.48584113,0.89588594,750
39,400,6.1,11.538462,13,18.682016,0.49194422,0.86747915,750
40,410,7.0,10.714286,14,18.633413,0.51827925,0.82972807,750
41,420,7.0,11.538462,13,19.077234,0.49254766,0.86123407,750
42,430,7.0,10.714286,14,17.75801,0.47602433,0.88501394,750
43,440,7.1,10.714286,14,16.511591,0.51404834,0.84449214,750
44,450,7.1,11.538462,13,17.265417,0.51023054,0.83402497,750
45,460,7.1,10,15,16.15343,0.51446337,0.84336823,750
46,470,8.0,8.333333,18,10.6405945,0.52420914,0.8314498,750
47,480,8.0,8.333333,18,10.619689,0.5146546,0.82415843,750
48,490,8.0,9.375,16,10.728904,0.4663215,0.9650007,750
49,500,8.1,10,15,11.679041,0.47319168,0.9255215,750
50,510,8.1,10.714286,14,11.828709,0.4733876,0.9457099,750
